block_number,slot,block_datetime_utc,block_timestamp_unix,age_raw,age_seconds_at_scrape,blobs_count,blobs_percent,txn_count,fee_recipient,gas_used,gas_used_percent,gas_limit,base_fee_gwei,reward_eth,burnt_fees_eth,burnt_fees_percent,source_page,source_row,source_url,scraped_at_utc
24884407,14118531,2026-04-15T09:46:35+00:00,1776246395,16 hrs ago,57600,7,33,273,Titan Builder,27523655,45.92,59941408,0.045,0.01075,0.001246,10.38,49,7,https://etherscan.io/blocks?ps=100&p=49,2026-04-16T01:51:07+00:00
24884408,14118532,2026-04-15T09:46:47+00:00,1776246407,16 hrs ago,57600,1,5,343,Titan Builder,24622938,41.04,59999943,0.044,0.01221,0.001103,8.28,49,6,https://etherscan.io/blocks?ps=100&p=49,2026-04-16T01:51:07+00:00
24884409,14118533,2026-04-15T09:46:59+00:00,1776246419,16 hrs ago,57600,0,0,323,Titan Builder,35208619,58.74,59941351,0.043,0.01076,0.001542,12.53,49,5,https://etherscan.io/blocks?ps=100&p=49,2026-04-16T01:51:07+00:00
24884410,14118534,2026-04-15T09:47:11+00:00,1776246431,16 hrs ago,57600,0,0,258,Titan Builder,19523640,32.54,59999886,0.044,0.00872,0.000874,9.1,49,4,https://etherscan.io/blocks?ps=100&p=49,2026-04-16T01:51:07+00:00
24884411,14118535,2026-04-15T09:47:23+00:00,1776246443,16 hrs ago,57600,16,76,397,BuilderNet,32057798,53.43,60000000,0.042,0.02358,0.001372,5.5,49,3,https://etherscan.io/blocks?ps=100&p=49,2026-04-16T01:51:07+00:00
24884412,14118536,2026-04-15T09:47:35+00:00,1776246455,16 hrs ago,57600,2,10,375,BuilderNet,31835997,53.06,60000000,0.043,0.01368,0.001374,9.13,49,2,https://etherscan.io/blocks?ps=100&p=49,2026-04-16T01:51:07+00:00
24884413,14118537,2026-04-15T09:47:47+00:00,1776246467,16 hrs ago,57600,2,10,317,Titan Builder,28606638,47.68,60000000,0.043,0.01203,0.001244,9.37,49,1,https://etherscan.io/blocks?ps=100&p=49,2026-04-16T01:51:07+00:00
24884414,14118538,2026-04-15T09:47:59+00:00,1776246479,16 hrs ago,57600,1,5,402,quasarbuilder,29110955,48.57,59941408,0.043,0.00656,0.001259,16.09,48,100,https://etherscan.io/blocks?ps=100&p=48,2026-04-16T01:51:07+00:00
24884415,14118539,2026-04-15T09:48:11+00:00,1776246491,16 hrs ago,57600,5,24,186,Titan Builder,26128287,43.55,59999943,0.043,0.01345,0.001126,7.72,48,99,https://etherscan.io/blocks?ps=100&p=48,2026-04-16T01:51:07+00:00
24884416,14118540,2026-04-15T09:48:23+00:00,1776246503,16 hrs ago,57600,3,14,470,Titan Builder,46127750,76.88,60000000,0.042,0.01631,0.001956,10.7,48,98,https://etherscan.io/blocks?ps=100&p=48,2026-04-16T01:51:07+00:00
24884417,14118541,2026-04-15T09:48:35+00:00,1776246515,16 hrs ago,57600,1,5,348,Titan Builder,31009000,51.68,60000000,0.045,0.01367,0.001403,9.31,48,97,https://etherscan.io/blocks?ps=100&p=48,2026-04-16T01:51:07+00:00
24884418,14118542,2026-04-15T09:48:47+00:00,1776246527,16 hrs ago,57600,1,5,282,BuilderNet,23409844,39.02,60000000,0.045,0.00735,0.001064,12.64,48,96,https://etherscan.io/blocks?ps=100&p=48,2026-04-16T01:51:07+00:00
